"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240501","안산선","안산","10467","9980","20240504",""
"20240501","안산선","초지","4052","4244","20240504",""
"20240501","안산선","고잔","6923","6696","20240504",""
"20240501","안산선","중앙","17412","17710","20240504",""
"20240501","안산선","한대앞","9509","9460","20240504",""
"20240501","안산선","상록수","12528","12649","20240504",""
"20240501","안산선","반월","3871","3879","20240504",""
"20240501","안산선","대야미","4648","4154","20240504",""
"20240501","안산선","산본","14497","15009","20240504",""
"20240501","신림선","관악산(서울대)","4358","4908","20240504",""
"20240501","신림선","서울대벤처타운","8298","7461","20240504",""
"20240501","신림선","서원","2887","2552","20240504",""
"20240501","신림선","신림","1697","2302","20240504",""
"20240501","신림선","당곡","3879","3577","20240504",""
"20240501","신림선","보라매병원","3465","3438","20240504",""
"20240501","신림선","보라매공원","2560","2624","20240504",""
"20240501","신림선","보라매","3113","2989","20240504",""
"20240501","신림선","서울지방병무청","2582","2719","20240504",""
"20240501","신림선","대방","2540","1955","20240504",""
"20240501","신림선","샛강","1585","1897","20240504",""
"20240501","수인선","인천","1250","2429","20240504",""
"20240501","수인선","신포","2064","2083","20240504",""
"20240501","수인선","숭의","3821","3515","20240504",""
"20240501","수인선","인하대","7979","7494","20240504",""
"20240501","수인선","송도","2353","2228","20240504",""
"20240501","수인선","연수","4776","4818","20240504",""
"20240501","수인선","원인재","4113","4204","20240504",""
"20240501","수인선","남동인더스파크","1034","1108","20240504",""
"20240501","수인선","호구포","2743","2718","20240504",""
"20240501","수인선","인천논현","4914","5245","20240504",""
"20240501","수인선","소래포구","7102","6769","20240504",""
"20240501","수인선","월곶","3422","3209","20240504",""
"20240501","수인선","달월","58","58","20240504",""
"20240501","수인선","사리","4430","3935","20240504",""
"20240501","수인선","야목","368","332","20240504",""
"20240501","수인선","어천","1164","1208","20240504",""
"20240501","수인선","오목천","3892","3421","20240504",""
"20240501","수인선","고색","3532","3553","20240504",""
"20240501","서해선","부천종합운동장","1901","1502","20240504",""
"20240501","서해선","원종","4345","4288","20240504",""
"20240501","서해선","김포공항","2889","3502","20240504",""
"20240501","분당선","매교","4322","4238","20240504",""
"20240501","분당선","수원시청","11592","11914","20240504",""
"20240501","분당선","매탄권선","4390","4131","20240504",""
"20240501","분당선","망포","10818","10765","20240504",""
"20240501","분당선","영통","8311","8485","20240504",""
"20240501","분당선","청명","3424","3488","20240504",""
"20240501","분당선","상갈","4610","4559","20240504",""
"20240501","분당선","기흥","8260","8525","20240504",""
"20240501","분당선","신갈","3297","3248","20240504",""
"20240501","분당선","구성","3838","4214","20240504",""
"20240501","분당선","죽전","12828","13719","20240504",""
"20240501","분당선","보정","2082","1890","20240504",""
"20240501","분당선","이매","4928","4607","20240504",""
"20240501","분당선","오리","8082","6947","20240504",""
"20240501","분당선","미금","12082","12580","20240504",""
"20240501","분당선","정자","10915","11538","20240504",""
"20240501","분당선","수내","9599","9495","20240504",""
"20240501","분당선","서현","19107","19350","20240504",""
"20240501","분당선","야탑","19119","20202","20240504",""
"20240501","분당선","모란","16503","17021","20240504",""
"20240501","분당선","태평","11455","10687","20240504",""
"20240501","분당선","가천대","12660","12639","20240504",""
"20240501","분당선","선정릉","3435","3468","20240504",""
"20240501","분당선","강남구청","5849","7015","20240504",""
"20240501","분당선","압구정로데오","17233","18851","20240504",""
"20240501","분당선","서울숲","15850","16313","20240504",""
"20240501","분당선","수원","7662","6815","20240504",""
"20240501","분당선","수서","12128","12666","20240504",""
"20240501","분당선","대모산입구","4700","4282","20240504",""
"20240501","분당선","개포동","3926","3839","20240504",""
"20240501","분당선","구룡","3229","3113","20240504",""
"20240501","분당선","도곡","5731","5532","20240504",""
