관광지,유_무료,내국인_외국인,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,데이터기준일자
용평리조트(피크아일랜드),유료,외국인,2015,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
이효석문학관,유료,외국인,2015,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2015,0,0,0,0,0,0,50,2,0,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2015,0,0,0,0,0,0,40,0,0,0,0,0,2022-10-04
평창 동강민물고기생태관,유료,외국인,2015,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,외국인,2015,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2015,129,94,50,145,190,154,30,15,40,120,220,180,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2015,0,0,0,89,126,33,4,84,46,0,0,0,2022-10-04
허브나라,유료,외국인,2015,12,18,460,649,551,147,70,218,306,203,308,412,2022-10-04
호렙오대산청소년수련원,유료,외국인,2015,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,외국인,2015,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(스키장),유료,외국인,2015,3138,3483,689,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,외국인,2015,1094,2042,464,0,0,0,0,0,0,0,0,0,2022-10-04
국립두타산자연휴양림,유료,내국인,2016,4759,3015,1480,2426,4309,3972,5729,7100,4157,5103,2482,2727,2022-10-04
국립평창청소년수련원,유료,내국인,2016,3957,19494,11366,13474,12039,9051,13136,13893,9764,11661,11495,3534,2022-10-04
대관령 양떼목장,유료,내국인,2016,46959,24280,19813,34790,67054,48783,45980,76128,48828,81913,31799,34240,2022-10-04
무이예술관,유료,내국인,2016,287,0,119,319,976,796,1532,2124,1832,908,350,240,2022-10-04
백룡동굴,유료,내국인,2016,533,380,732,955,1859,1651,2622,4179,1430,1833,1064,340,2022-10-04
삼양대관령목장,유료,내국인,2016,24468,16713,12823,25317,59047,40363,41582,65694,28050,5340,18081,15125,2022-10-04
알펜시아리조트(골프장),유료,내국인,2016,0,0,80,1389,3517,9288,13571,12275,8302,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,내국인,2016,31972,21553,2081,0,0,0,0,0,0,0,815,26975,2022-10-04
알펜시아리조트(오션700),유료,내국인,2016,21707,16905,6924,7588,15916,13162,27611,34183,10365,10809,3310,14848,2022-10-04
오대산국립공원(월정사),유료,내국인,2016,46179,40665,31012,46703,83142,62281,77430,149238,96370,230167,101093,53747,2022-10-04
용평리조트(골프장),유료,내국인,2016,0,0,1875,10612,13331,14942,16746,19705,12376,15131,4646,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,내국인,2016,20518,15626,4958,1623,20832,14261,21172,29599,14069,34974,13384,23211,2022-10-04
용평리조트(스키장),유료,내국인,2016,130965,70255,14056,0,0,0,0,0,0,0,10036,91452,2022-10-04
용평리조트(유스호스텔),유료,내국인,2016,4,222,107,1080,1430,833,8001,7163,179,0,0,0,2022-10-04
용평리조트(피크아일랜드),유료,내국인,2016,19710,12086,1251,5609,13577,12396,23769,33233,6422,7786,2625,14092,2022-10-04
이효석문학관,유료,내국인,2016,2892,2341,2182,4545,11784,6877,9100,13999,21002,13521,3591,2176,2022-10-04
켄싱턴플로라호텔(글램핑),유료,내국인,2016,205,15723,100,359,705,1208,1626,1398,420,287,177,318,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,내국인,2016,1791,1627,3911,5483,3159,2171,4706,1307,1818,2700,2000,2411,2022-10-04
평창 동강민물고기생태관,유료,내국인,2016,227,149,237,361,879,753,1002,1463,454,676,241,265,2022-10-04
평창힐링청소년수련원,유료,내국인,2016,0,2132,2289,3118,5954,2694,4854,3696,4198,2094,160,0,2022-10-04
한국앵무새학교,유료,내국인,2016,400,450,300,401,452,352,1587,1822,809,520,485,463,2022-10-04
한국전통음식문화체험관,유료,내국인,2016,950,400,350,1200,1561,1252,2065,2905,896,2360,1302,1689,2022-10-04
한화리조트(컨벤션홀),유료,내국인,2016,0,0,0,5566,4204,6793,36230,45195,15205,3763,2487,3295,2022-10-04
허브나라,유료,내국인,2016,28679,8194,5087,12075,27998,18867,20660,30580,20496,24395,6606,3014,2022-10-04
호렙오대산청소년수련원,유료,내국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,내국인,2016,0,0,872,4053,7607,8520,8406,9303,5973,10927,4949,232,2022-10-04
휘닉스파크(스키장),유료,내국인,2016,174640,59834,9615,1097,0,0,0,0,0,0,21901,130123,2022-10-04
휘닉스파크(워터파크),유료,내국인,2016,38483,24264,7612,9129,21252,19897,47239,62506,12341,11076,7659,22242,2022-10-04
국립두타산자연휴양림,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립평창청소년수련원,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
대관령 양떼목장,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
무이예술관,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
백룡동굴,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
삼양대관령목장,유료,외국인,2016,52,84,90,260,137,124,0,0,0,0,0,0,2022-10-04
알펜시아리조트(골프장),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,외국인,2016,528,0,0,0,0,0,0,0,0,0,0,4799,2022-10-04
알펜시아리조트(오션700),유료,외국인,2016,400,1505,1161,664,235,253,1167,1259,273,443,223,2047,2022-10-04
오대산국립공원(월정사),유료,외국인,2016,0,0,42,63,87,72,34,27,37,40,12,0,2022-10-04
용평리조트(골프장),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(스키장),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(유스호스텔),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(피크아일랜드),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
이효석문학관,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2016,0,0,0,0,0,5,34,26,9,0,6,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2016,0,0,0,0,0,0,0,0,1,0,0,0,2022-10-04
평창 동강민물고기생태관,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국앵무새학교,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2016,100,250,150,90,128,302,463,2,48,0,0,0,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2016,0,0,0,0,0,0,388,0,44,0,0,0,2022-10-04
허브나라,유료,외국인,2016,303,267,78,411,529,469,503,474,214,85,9,0,2022-10-04
호렙오대산청소년수련원,유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(스키장),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,외국인,2016,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립두타산자연휴양림,유료,내국인,2017,4513,3376,2685,2809,5286,4968,6506,7591,4311,6472,414,3843,2022-10-04
국립평창청소년수련원,유료,내국인,2017,2807,7374,9378,12248,13404,12642,11679,14993,15407,7036,9934,9934,2022-10-04
대관령 양떼목장,유료,내국인,2017,39246,26512,22145,44479,76827,39557,32168,61588,53717,75215,27611,26788,2022-10-04
무이예술관,유료,내국인,2017,0,0,0,0,0,0,1244,2594,3050,1712,484,323,2022-10-04
백룡동굴,유료,내국인,2017,299,314,343,1117,2036,1546,2145,4024,1899,3218,1310,350,2022-10-04
삼양대관령목장,유료,내국인,2017,21558,18371,9944,25436,56714,31603,28000,47000,38000,55871,16685,14009,2022-10-04
알펜시아리조트(골프장),유료,내국인,2017,0,0,348,3478,10199,11969,12986,14065,10666,9141,2349,0,2022-10-04
알펜시아리조트(스키장),유료,내국인,2017,36432,24557,2330,0,0,0,6013,6356,5237,0,0,5556,2022-10-04
알펜시아리조트(오션700),유료,내국인,2017,21768,17832,8305,11933,26231,21846,28500,34660,10099,11438,0,0,2022-10-04
오대산국립공원(월정사),유료,내국인,2017,81611,79650,59989,86204,123504,94916,85530,133996,92865,331702,112939,52929,2022-10-04
용평리조트(골프장),유료,내국인,2017,0,0,2005,10204,14951,14836,17361,18212,12780,15318,5784,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,내국인,2017,27497,20149,10025,17869,21393,16088,21495,29239,13450,35146,16091,0,2022-10-04
용평리조트(스키장),유료,내국인,2017,137525,80143,42561,0,0,0,0,0,0,0,8152,93895,2022-10-04
용평리조트(유스호스텔),유료,내국인,2017,19717,16711,9379,3708,2642,1600,2248,1716,1032,1612,1250,3598,2022-10-04
용평리조트(피크아일랜드),유료,내국인,2017,19539,10206,1635,5839,14266,9959,22450,28852,4930,8845,2335,13859,2022-10-04
이효석문학관,유료,내국인,2017,1684,2164,1775,5199,11624,6049,9219,19047,30183,18890,3966,2849,2022-10-04
켄싱턴플로라호텔(글램핑),유료,내국인,2017,187,85,76,1167,851,930,5135,7277,2959,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,내국인,2017,251,1950,2665,3335,2606,3024,515,294,3769,2839,4926,2959,2022-10-04
평창 동강민물고기생태관,유료,내국인,2017,143,165,217,278,643,527,845,1536,387,1299,1333,1427,2022-10-04
평창힐링청소년수련원,유료,내국인,2017,40,730,1150,2816,5024,3490,4226,5856,2240,1400,0,0,2022-10-04
한국앵무새학교,유료,내국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,내국인,2017,302,602,502,1099,2062,489,967,1121,2080,2238,1741,995,2022-10-04
한화리조트(컨벤션홀),유료,내국인,2017,3720,6878,5274,4522,4405,7904,3060,4550,3190,2740,1910,2211,2022-10-04
허브나라,유료,내국인,2017,2350,2529,3180,12855,31529,14369,1681,2680,19438,26736,5455,1931,2022-10-04
호렙오대산청소년수련원,유료,내국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,내국인,2017,0,0,1568,8130,12528,12608,9127,9933,10303,8462,3699,0,2022-10-04
휘닉스파크(스키장),유료,내국인,2017,168608,105882,11564,0,0,0,0,0,0,0,21612,189224,2022-10-04
휘닉스파크(워터파크),유료,내국인,2017,35107,20936,7996,2495,22512,34613,56750,73641,16646,20525,11589,28607,2022-10-04
국립두타산자연휴양림,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립평창청소년수련원,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
대관령 양떼목장,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
무이예술관,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
백룡동굴,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
삼양대관령목장,유료,외국인,2017,115,101,29,0,0,41,0,0,0,0,0,0,2022-10-04
알펜시아리조트(골프장),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(오션700),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
오대산국립공원(월정사),유료,외국인,2017,7,45,68,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(골프장),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(스키장),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(유스호스텔),유료,외국인,2017,0,60,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(피크아일랜드),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
이효석문학관,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2017,6,0,0,0,0,0,3,7,60,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2017,10,600,558,0,0,0,0,0,0,0,0,0,2022-10-04
평창 동강민물고기생태관,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국앵무새학교,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2017,189,818,246,0,596,288,250,47,58,191,149,85,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2017,0,304,0,0,0,0,0,0,0,0,0,0,2022-10-04
허브나라,유료,외국인,2017,0,0,0,68,48,152,0,0,0,0,0,0,2022-10-04
호렙오대산청소년수련원,유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(스키장),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,외국인,2017,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립두타산자연휴양림,유료,내국인,2018,4056,6332,2459,3071,4491,4420,8018,8751,4330,2348,516,4969,2022-10-04
국립평창청소년수련원,유료,내국인,2018,10678,17424,5955,9945,11680,10240,9945,11680,10240,11566,7815,1605,2022-10-04
대관령 양떼목장,유료,내국인,2018,26997,17125,26512,33953,62761,41239,37630,64090,52182,0,0,0,2022-10-04
무이예술관,유료,내국인,2018,0,0,0,0,0,0,0,1636,1314,1015,1257,1549,2022-10-04
백룡동굴,유료,내국인,2018,411,333,564,826,1547,1588,3627,5386,1594,1472,586,429,2022-10-04
삼양대관령목장,유료,내국인,2018,16503,8754,12492,20421,37710,24902,25020,48674,44637,77968,17052,14295,2022-10-04
알펜시아리조트(골프장),유료,내국인,2018,0,0,0,2989,9341,15181,14756,15870,10226,13537,5938,0,2022-10-04
알펜시아리조트(스키장),유료,내국인,2018,4984,0,0,0,0,0,6606,7555,294,0,523,37882,2022-10-04
알펜시아리조트(오션700),유료,내국인,2018,0,0,0,2562,13776,11421,25415,33265,9200,6461,2785,16993,2022-10-04
오대산국립공원(월정사),유료,내국인,2018,97476,77175,73434,91775,130881,117729,120478,151818,118867,249818,95455,68917,2022-10-04
용평리조트(골프장),유료,내국인,2018,0,0,236,8475,13533,15569,19122,20367,16081,16675,4338,115,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,내국인,2018,0,100,7187,16417,24332,15847,24612,43201,22171,40899,17804,27355,2022-10-04
용평리조트(스키장),유료,내국인,2018,92029,22605,19808,0,0,0,0,0,0,0,6115,90038,2022-10-04
용평리조트(유스호스텔),유료,내국인,2018,1528,1247,612,459,2613,1610,1685,7758,1584,1345,529,4347,2022-10-04
용평리조트(피크아일랜드),유료,내국인,2018,12873,2508,1073,6682,15972,8948,24595,32184,6946,6050,1310,17784,2022-10-04
이효석문학관,유료,내국인,2018,2489,2913,3741,5056,9527,6129,7111,14315,28092,12824,5072,2382,2022-10-04
켄싱턴플로라호텔(글램핑),유료,내국인,2018,22,0,62,1000,750,480,813,853,226,132,130,77,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,내국인,2018,730,505,1838,2000,1606,1072,1683,12759,3572,3654,5783,1314,2022-10-04
평창 동강민물고기생태관,유료,내국인,2018,133,148,185,452,543,411,845,1165,311,396,241,73,2022-10-04
평창힐링청소년수련원,유료,내국인,2018,2500,12000,4480,4296,6326,2895,6356,5214,2234,2370,23,0,2022-10-04
한국앵무새학교,유료,내국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,내국인,2018,769,2895,674,805,1085,861,678,926,826,648,475,366,2022-10-04
한화리조트(컨벤션홀),유료,내국인,2018,2850,3870,2601,3843,6399,5017,3050,2220,1600,4125,4608,4714,2022-10-04
허브나라,유료,내국인,2018,0,0,3446,10570,20315,12026,11325,18434,15003,14329,4864,1860,2022-10-04
호렙오대산청소년수련원,유료,내국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,내국인,2018,0,0,1779,5980,9077,9938,9895,9824,7884,8808,4162,16,2022-10-04
휘닉스파크(스키장),유료,내국인,2018,241909,259,0,0,0,0,0,0,0,0,25497,148383,2022-10-04
휘닉스파크(워터파크),유료,내국인,2018,6184,2173,3090,24357,41184,45497,59212,74273,21544,15429,17100,48625,2022-10-04
국립두타산자연휴양림,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립평창청소년수련원,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
대관령 양떼목장,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
무이예술관,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
백룡동굴,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
삼양대관령목장,유료,외국인,2018,0,0,0,0,0,0,13,7,11,0,0,0,2022-10-04
알펜시아리조트(골프장),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(오션700),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
오대산국립공원(월정사),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(골프장),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(스키장),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(유스호스텔),유료,외국인,2018,327,2060,189,0,0,0,0,22,0,0,56,379,2022-10-04
용평리조트(피크아일랜드),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
이효석문학관,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2018,36,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2018,0,408,241,0,0,0,0,0,0,0,0,42,2022-10-04
평창 동강민물고기생태관,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국앵무새학교,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2018,0,0,0,0,0,0,217,242,220,269,569,1193,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2018,0,0,0,0,0,0,330,0,0,0,0,0,2022-10-04
허브나라,유료,외국인,2018,0,0,67,0,0,0,0,0,0,0,0,0,2022-10-04
호렙오대산청소년수련원,유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(스키장),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,외국인,2018,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립두타산자연휴양림,유료,내국인,2019,3860,3190,2251,2200,1106,4500,7599,10828,4147,2384,1541,1198,2022-10-04
국립평창청소년수련원,유료,내국인,2019,4600,6343,12042,10846,12931,6660,12333,11936,8990,10565,8622,4409,2022-10-04
무이예술관,유료,내국인,2019,1315,1368,1271,1811,1936,2536,3888,5691,3070,2699,1477,1366,2022-10-04
백룡동굴,유료,내국인,2019,310,312,523,705,1637,1323,2709,4591,1336,1564,828,547,2022-10-04
삼양대관령목장,유료,내국인,2019,11769,10053,10334,8332,32595,29904,24877,51801,29136,96349,13801,22172,2022-10-04
알펜시아리조트(골프장),유료,내국인,2019,0,0,520,7889,14730,17088,16479,19126,13056,18027,8372,0,2022-10-04
알펜시아리조트(스키장),유료,내국인,2019,47115,35240,3980,0,0,0,0,0,0,1967,1903,27674,2022-10-04
알펜시아리조트(오션700),유료,내국인,2019,18079,18228,5972,5711,12367,14695,26990,40971,10983,14201,19182,21570,2022-10-04
오대산국립공원(월정사),유료,내국인,2019,93630,87748,69994,65353,100404,96519,96924,134140,84332,204810,107088,66204,2022-10-04
용평리조트(골프장),유료,내국인,2019,0,0,1170,9403,17492,16498,19959,24062,15616,18520,5665,50,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,내국인,2019,26142,17804,14450,14640,30721,52810,70063,84623,58031,117462,26166,44411,2022-10-04
용평리조트(스키장),유료,내국인,2019,99354,59033,15178,0,0,0,0,0,0,0,7957,83850,2022-10-04
용평리조트(유스호스텔),유료,내국인,2019,4986,6861,1387,88,649,6027,7559,12768,7619,13754,2593,9550,2022-10-04
용평리조트(피크아일랜드),유료,내국인,2019,21036,16757,3718,3883,14935,39693,57634,60606,25940,27953,6323,32174,2022-10-04
이효석문학관,유료,내국인,2019,2164,2163,2890,4833,9713,9225,10946,19484,21209,15844,5894,3074,2022-10-04
켄싱턴플로라호텔(글램핑),유료,내국인,2019,48,70,66,156,437,444,1056,1526,428,501,382,122,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,내국인,2019,4192,3579,7919,1104,1747,2299,1981,10514,1140,3113,471,1350,2022-10-04
평창 동강민물고기생태관,유료,내국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,내국인,2019,1420,2014,3988,3758,5491,3320,4133,3984,2097,3074,250,0,2022-10-04
한국전통음식문화체험관,유료,내국인,2019,377,324,233,557,1117,643,448,880,336,1563,455,384,2022-10-04
한화리조트(컨벤션홀),유료,내국인,2019,0,0,0,2581,3845,7668,9427,7082,2535,2810,2477,1386,2022-10-04
허브나라,유료,내국인,2019,1713,1199,2783,5900,13952,11022,10867,17180,9303,0,0,0,2022-10-04
호렙오대산청소년수련원,유료,내국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,내국인,2019,0,0,2038,5418,7774,8217,6657,13479,8976,10194,4774,198,2022-10-04
휘닉스파크(스키장),유료,내국인,2019,215584,128952,18912,0,0,0,0,0,0,17514,10251,36576,2022-10-04
휘닉스파크(워터파크),유료,내국인,2019,82876,45708,23414,44381,76816,86674,159139,249346,43333,36140,24155,42477,2022-10-04
국립두타산자연휴양림,유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립평창청소년수련원,유료,외국인,2019,0,0,0,0,0,40,0,0,0,0,75,0,2022-10-04
무이예술관,유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
백룡동굴,유료,외국인,2019,6,4,3,0,0,0,0,0,0,0,0,0,2022-10-04
삼양대관령목장,유료,외국인,2019,17,44,14,20,0,0,21,0,2,0,3,13,2022-10-04
알펜시아리조트(골프장),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(스키장),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
알펜시아리조트(오션700),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
오대산국립공원(월정사),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(골프장),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(발왕산전망대 곤돌라),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(스키장),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(유스호스텔),유료,외국인,2019,184,808,8,0,0,0,0,0,0,0,0,0,2022-10-04
용평리조트(피크아일랜드),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
이효석문학관,유료,외국인,2019,0,0,0,10,40,0,0,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(글램핑),유료,외국인,2019,0,0,0,0,0,0,5,0,0,0,0,0,2022-10-04
켄싱턴플로라호텔(컨벤션홀),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창 동강민물고기생태관,유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
평창힐링청소년수련원,유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
한국전통음식문화체험관,유료,외국인,2019,184,398,146,175,161,210,123,95,120,393,442,1851,2022-10-04
한화리조트(컨벤션홀),유료,외국인,2019,0,0,0,0,0,26,0,0,0,0,0,0,2022-10-04
허브나라,유료,외국인,2019,0,0,0,0,0,0,17,31,18,0,0,0,2022-10-04
호렙오대산청소년수련원,유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(골프장),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(스키장),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
휘닉스파크(워터파크),유료,외국인,2019,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-04
국립두타산자연휴양림,유료,내국인,2020,1437,1368,311,146,1090,1737,3823,3590,18,0,0,0,2022-10-04
국립평창청소년수련원,유료,내국인,2020,5007,60,0,0,0,527,650,1792,0,2137,2424,699,2022-10-04
무이예술관,유료,내국인,2020,1520,1098,125,0,1582,1428,446,2730,297,2367,1624,881,2022-10-04
백룡동굴,유료,내국인,2020,529,219,0,0,356,782,1045,898,0,0,0,0,2022-10-04
비엔나인형박물관,유료,내국인,2020,1591,1145,853,751,1504,1440,2314,4369,1151,1966,2343,417,2022-10-04
삼양대관령목장,유료,내국인,2020,28303,39461,30583,5712,28142,24646,24859,40630,21843,52012,22681,14522,2022-10-04
알펜시아리조트(골프장),유료,내국인,2020,0,0,3055,3055,17711,20602,18827,19506,17162,20868,10833,1223,2022-10-04
알펜시아리조트(스키장),유료,내국인,2020,56648,26804,1214,665,5574,11475,9249,10388,8427,7536,0,6242,2022-10-04
알펜시아리조트(오션700),유료,내국인,2020,20329,9928,290,3778,8627,14422,15887,20156,7868,8751,8008,2341,2022-10-04
오대산국립공원(월정사),유료,내국인,2020,75106,62604,50812,17680,37140,40804,45419,68337,29160,110594,50246,19044,2022-10-04
용평리조트(골프장),유료,내국인,2020,0,0,3042,4702,20180,22307,21109,22433,18592,22141,10088,526,2022-10-04
